ISSN,Titulo,Area de Avaliacao,Estrato,Quadrienio
0003-6870,APPLIED ERGONOMICS,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
0003-6900,APPLIED MECHANICS REVIEWS,ENGENHARIAS III,A1,2017-2020
0003-6935,APPLIED OPTICS,ENGENHARIAS IV,A3,2017-2020
0003-6951,APPLIED PHYSICS LETTERS,INTERDISCIPLINAR,A1,2017-2020
0003-7028,APPLIED SPECTROSCOPY,CIÊNCIAS BIOLÓGICAS I,A2,2017-2020
0003-7214,"AQUA (LONDON. PRINT) (CESSOU EM 1999. CONT. ISSN 1606-9935 JOURNAL OF WATER SUPPLY: RESEARCH AND TECHNOLOGY, AQUA (PRINT))",ENGENHARIAS I,B1,2017-2020
0003-7362,AQUINAS. RIVISTA INTERNAZIONALE DI FILOSOFIA,FILOSOFIA,B1,2017-2020
0003-7982,ARCADIA - INTERNATIONAL JOURNAL FOR LITERARY STUDIES,LINGUíSTICA E LITERATURA,A3,2017-2020
0003-813X,ARCHAEOMETRY (OXFORD),INTERDISCIPLINAR,A1,2017-2020
0003-861X,ARCHITECTURAL REVIEW (LONDON),"ARQUITETURA, URBANISMO E DESIGN",B3,2017-2020
0003-8628,ARCHITECTURAL SCIENCE REVIEW (SYDNEY),"ARQUITETURA, URBANISMO E DESIGN",A3,2017-2020
0003-875X,DER ARCHITEKT,FILOSOFIA,B1,2017-2020
0003-889X,ARCHIV DER MATHEMATIK (PRINTED ED.),MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,B1,2017-2020
0003-892X,ARCHIV DES VÖLKERRECHTS,DIREITO,A1,2017-2020
0003-9101,ARCHIV FUR GESCHICHTE DER PHILOSOPHIE,FILOSOFIA,A1,2017-2020
0003-925X,JOURNAL OF FOOD SAFETY AND FOOD QUALITY - ARCHIV FUR LEBENSMITTELHYGIENE,ZOOTECNIA / RECURSOS PESQUEIROS,B3,2017-2020
0003-9438,ARCHIVES OF ANIMAL BREEDING,MEDICINA VETERINÁRIA,A4,2017-2020
0003-9519,ARCHIVE FOR HISTORY OF EXACT SCIENCES (PRINT),ENSINO,A4,2017-2020
0003-9527,ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS (PRINT),CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
0003-9632,ARCHIVES DE PHILOSOPHIE,FILOSOFIA,A3,2017-2020
0003-9810,ARCHIVES INTERNATIONALES D'HISTOIRE DES SCIENCES,ENSINO,A4,2017-2020
0003-9829,ARCHIVES ITALIENNES DE BIOLOGIE,ODONTOLOGIA,B3,2017-2020
0003-9861,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT),FARMÁCIA,A2,2017-2020
0003-9888,ARCHIVES OF DISEASE IN CHILDHOOD,MEDICINA I,A1,2017-2020
0003-9969,ARCHIVES OF ORAL BIOLOGY,CIÊNCIA DE ALIMENTOS,A1,2017-2020
0003-9985,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,MEDICINA I,A1,2017-2020
0003-9993,ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION (PRINT),NUTRIÇÃO,A1,2017-2020
0004-0002,ARCHIVES OF SEXUAL BEHAVIOR,INTERDISCIPLINAR,A1,2017-2020
0004-0304,ARCHIVIO PENALE,INTERDISCIPLINAR,A2,2017-2020
0004-0592,ARCHIVOS DE ZOOTECNIA (UNIVERSIDAD DE CÓRDOBA),ZOOTECNIA / RECURSOS PESQUEIROS,B2,2017-2020
0004-0614,ARCHIVOS ESPAÑOLES DE UROLOGÍA (ED. IMPRESA),INTERDISCIPLINAR,B3,2017-2020
0004-069X,ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,MEDICINA I,A4,2017-2020
0004-1157,DAS ARGUMENT (BERLIN),EDUCAÇÃO,B1,2017-2020
0004-2080,ARKIV FÖR MATEMATIK,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,A3,2017-2020
0004-2730,ARQUIVOS BRASILEIROS DE ENDOCRINOLOGIA E METABOLOGIA (IMPRESSO),MEDICINA II,B2,2017-2020
0004-2749,ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,MEDICINA III,A4,2017-2020
0004-2773,ARQUIVOS CATARINENSES DE MEDICINA,MEDICINA II,B2,2017-2020
0004-2803,ARQUIVOS DE GASTROENTEROLOGIA (IMPRESSO),CIÊNCIAS BIOLÓGICAS I,B2,2017-2020
0004-282X,ARQUIVOS DE NEUROPSIQUIATRIA,CIÊNCIAS BIOLÓGICAS I,B2,2017-2020
0004-2927,ARS PHARMACEUTICA,FARMÁCIA,B4,2017-2020
0004-3591,ARTHRITIS AND RHEUMATISM,MEDICINA III,B3,2017-2020
0004-3702,ARTIFICIAL INTELLIGENCE,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
0004-4822,REVISTA DE LA ASOCIACIÓN GEOLÓGICA ARGENTINA,GEOCIÊNCIAS,B2,2017-2020
0004-4881,REVISTA DE LA ASOCIACIÓN ODONTOLÓGICA ARGENTINA,SAÚDE COLETIVA,B4,2017-2020
0004-5276,REVISTA DA ASSOCIAÇÃO PAULISTA DE CIRURGIÕES-DENTISTAS,ODONTOLOGIA,B3,2017-2020
0004-5411,JOURNAL OF THE ASSOCIATION FOR COMPUTING MACHINERY,CIÊNCIA DA COMPUTAÇÃO,A1,2017-2020
0004-5608,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,GEOGRAFIA,A1,2017-2020
0004-5632,ANNALS OF CLINICAL BIOCHEMISTRY,MEDICINA I,B1,2017-2020
0004-6256,THE ASTRONOMICAL JOURNAL (NEW YORK),INTERDISCIPLINAR,A1,2017-2020
0004-6264,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,ASTRONOMIA / FÍSICA,A2,2017-2020
0004-6280,PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,ASTRONOMIA / FÍSICA,A3,2017-2020
0004-6337,ASTRONOMISCHE NACHRICHTEN,MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA,B1,2017-2020
0004-6361,ASTRONOMY & ASTROPHYSICS (BERLIN),INTERDISCIPLINAR,A1,2017-2020
